action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,12770,445,0.003088
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,13729,1962,0.0051
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2859,615,0.00131
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2850,700,0.00141
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2834,690,0.001395
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2872,464,0.001131
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2863,551,0.001234
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2851,624,0.001319
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2853,513,0.001186
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,13911,2934,0.006303
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2869,347,0.00099
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2863,612,0.001307
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,15918,1934,0.005504
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,14956,166,0.00319
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2876,820,0.001559
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3264,1130,0.002009
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2857,1001,0.001773
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5430,1507,0.002894
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2876,453,0.001119
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5025,978,0.002179
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3066,407,0.001102
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2859,542,0.001222
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2852,1131,0.001928
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2875,486,0.001158
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2870,610,0.001306
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2867,804,0.001538
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13364,2048,0.00513
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2882,614,0.001313
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12493,2515,0.005517
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,20701,1549,0.005999
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,16790,3392,0.007428
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,9939,389,0.002455
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,9141,965,0.002986
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,15181,1072,0.004323
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,11053,1199,0.003649
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,24417,1399,0.006562
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,756,145,0.000325
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9697,2328,0.004733
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,16308,550,0.003922
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,16221,845,0.004258
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,17185,2039,0.005884
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,17367,3603,0.007797
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,19173,1959,0.006185
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,18434,239,0.003974
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3510,1650,0.002682
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,11426,1522,0.004112
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,4089,483,0.001397
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,16752,2048,0.005523
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,15976,2624,0.006344
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,4687,1731,0.003015
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,4119,188,0.001049
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,776,327,0.000548
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,4104,341,0.00123
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,754,450,0.000691
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,4202,655,0.001626
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,6512,449,0.001841
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,393,174,0.000287
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,5820,1108,0.002494
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,642,211,0.000382
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,837,124,0.000316
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,830,142,0.000336
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,834,141,0.000336
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,852,108,0.0003
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,863,100,0.000293
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,627,191,0.000355
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,613,153,0.000306
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,821,167,0.000365
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,841,164,0.000365
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,837,140,0.000335
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,559,228,0.000385
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,8841,978,0.002942
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,18635,2580,0.006823
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,5722,252,0.001447
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,5709,333,0.001541
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,5769,765,0.002072
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,9745,647,0.002725
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,7746,1693,0.003581
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1564,199,0.000552
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1025,234,0.000486
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1482,152,0.000479
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,962,165,0.00039
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9580,2133,0.004476
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,16815,469,0.003926
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,16730,371,0.003791
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,17617,1686,0.005547
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,17799,2434,0.006481
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,19257,1526,0.005683
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,18360,184,0.003893
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3012,1098,0.00192
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5447,1742,0.00318
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,5661,359,0.001563
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,15367,2048,0.005246
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,14503,2073,0.005388
artifacts:regenerate:summary,artifacts:regenerate:summary,report_vs/artifacts/regenerate/summary,openai,gpt-5.6-luna,6504,1984,0.003682
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,10587,2351,0.004939
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,12992,2532,0.005637
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,5651,375,0.00158
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,15404,2048,0.005253
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,14536,3459,0.007058
artifacts:regenerate:summary,artifacts:regenerate:summary,report_vs/artifacts/regenerate/summary,openai,gpt-5.6-luna,6504,1729,0.003376
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,10587,2103,0.004641
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,12528,2143,0.005077
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,5674,407,0.001623
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,15537,2048,0.00528
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,14666,1183,0.004353
artifacts:regenerate:summary,artifacts:regenerate:summary,report_vs/artifacts/regenerate/summary,openai,gpt-5.6-luna,6504,1754,0.003406
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,10587,2349,0.004936
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,12788,2823,0.005945
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,5623,389,0.001591
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,15553,2048,0.005283
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,14685,3158,0.006727
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,766,254,0.000458
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,630,295,0.00048
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,6869,1046,0.002629
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,5366,1396,0.002748
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,2737,245,0.000841
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,3803,432,0.001279
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,2791,413,0.001054
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,3704,439,0.001268
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,3975,881,0.001852
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,974,153,0.000378
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,988,182,0.000416
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,952,163,0.000386
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,962,178,0.000406
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,969,221,0.000459
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9151,1609,0.003761
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,13761,491,0.003341
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,13830,548,0.003424
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,14821,1889,0.005231
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,14639,1837,0.005132
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,16163,1524,0.005061
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,15270,192,0.003284
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3255,1436,0.002374
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,4883,1723,0.003044
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,2525,407,0.000993
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,11483,2048,0.004469
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,10652,2978,0.005704
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,7875,687,0.002399
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,726,421,0.00065
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,875,399,0.000654
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2073,378,0.000868
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2093,545,0.001073
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,8432,2426,0.004598
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,4763,258,0.001262
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,4778,295,0.00131
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,4858,601,0.001693
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,7791,740,0.002446
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,6982,1693,0.003428
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,724,255,0.000451
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,661,104,0.000257
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2103,520,0.001045
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,662,150,0.000312
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9482,1653,0.00388
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,16880,447,0.003912
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,16879,527,0.004008
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,17688,1700,0.005578
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,17870,2517,0.006594
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,19473,2098,0.006412
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,18613,168,0.003924
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3613,1556,0.00259
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6118,1756,0.003331
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5874,1316,0.002754
structured_output:regenerate,structured_output:regenerate,report_vs/structured_output/regenerate,openai,gpt-5.6-luna,5971,1053,0.002458
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3711,502,0.001345
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13959,2048,0.004964
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,13135,2664,0.005824
artifacts:regenerate:linkedin_post,artifacts:regenerate:linkedin_post,report_vs/artifacts/regenerate/linkedin_post,openai,gpt-5.6-luna,2754,1270,0.002075
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,604,204,0.000366
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,8816,1835,0.003965
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,4964,429,0.001508
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,4965,184,0.001214
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,4984,345,0.001411
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,5042,533,0.001648
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,6874,1436,0.003098
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,677,149,0.000314
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,692,181,0.000356
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,648,138,0.000295
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,667,127,0.000286
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,691,171,0.000343
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,677,161,0.000329
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,616,160,0.000315
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,8075,8192,0.011445
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,10044,555,0.002675
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9191,1675,0.003848
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,14836,534,0.003608
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,14854,453,0.003514
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,15698,1924,0.005448
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,15880,2290,0.005924
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17306,1567,0.005342
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16457,160,0.003483
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,2901,1319,0.002163
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5165,1499,0.002832
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3083,455,0.001163
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,11579,2048,0.004488
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,10693,2912,0.005633
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,7878,2023,0.004003
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,9888,2730,0.005254
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3093,443,0.00115
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,11623,2048,0.004497
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,10735,2859,0.005578
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,7878,2070,0.00406
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,9878,2657,0.005164
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3091,461,0.001171
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,11633,2048,0.004499
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,10745,3401,0.00623
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,7878,2394,0.004448
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,9956,2198,0.004629
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3081,485,0.001198
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,11571,2048,0.004487
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,10683,2456,0.005084
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,12784,807,0.003525
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,740,401,0.000629
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,897,627,0.000932
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,633,278,0.00046
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,610,591,0.000831
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,10219,2235,0.004726
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,9660,317,0.002312
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3552,608,0.00144
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,9620,614,0.002661
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,9647,674,0.002738
